"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)","9.57","0.24","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Ledaig 42yo Dusgadh","9.48","0.23","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)","9.42","0.23","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.29","0.26","17","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 25yo","9.24","0.22","21","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Spectrum (Batch 1)","9.21","0.24","14","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 25yo","9.18","0.19","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.16","0.43","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Tamdhu 30yo (MacPhail Collection 2009)","9.16","0.18","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all batches)","9.15","0.31","19","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.14","0.14","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.13","0.10","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.13","0.41","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 25yo","9.13","0.28","23","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.12","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Yamazaki 18yo","9.12","0.27","23","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 40)","9.11","0.15","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 49)","9.10","0.20","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 56)","9.09","0.22","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Compass Box Last Vatted Malt","9.09","0.16","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast 21yo","9.09","0.29","20","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.09","0.33","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Bruichladdich 21yo Cuvée 407 PX","9.08","0.17","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.07","0.20","13","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Amrut Spectrum (all batches)","9.07","0.38","18","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.07","0.19","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Odin","9.07","0.28","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Springtide","9.06","0.67","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.05","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Vinho Barrique","9.05","0.21","20","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Macallan Cask Strength","9.05","0.38","22","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 53)","9.04","0.12","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.04","0.14","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 18yo","9.04","0.24","32","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist PX Cask","9.04","0.51","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.04","0.22","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.03","0.22","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 17yo The Dark","9.03","0.38","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.03","0.30","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Timorous Beastie 21yo Sherry Edition","9.03","0.2","3","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Amrut Spectrum 004 (Batch 2)","9.02","0.43","13","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","9.02","0.36","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Manzanilla Cask","9.02","0.20","10","$$$$$+","SingleMalt-like","ABC","C","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 44)","9.01","0.15","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 52)","9.01","0.22","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Amontillado Cask","9.01","0.23","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Springbank 21yo","9.01","0.25","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.00","0.24","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt 21st Anniversary Edition","9.00","0.13","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","9.00","0.28","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.00","0.15","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","9.00","0.45","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","8.99","0.22","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain 18yo","8.99","0.21","24","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.99","0.33","19","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Nikka Taketsuru 21yo","8.99","0.29","20","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Timorous Beastie 40yo Cask Strength","8.99","0.29","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bladnoch 12yo Sherry Cask (Sheep label)","8.98","0.21","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 36)","8.97","0.45","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask 2696 (LCBO)","8.97","0.27","7","$$$$$","SingleMalt-like","ABC","B","India","Malt"
"Bushmills 21yo Single Malt","8.97","0.37","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Highland Park 15yo Loki","8.97","0.28","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Port Cask Matured","8.97","0.21","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.96","0.26","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Portonova","8.96","0.30","24","$$$$","SingleMalt-like","ABC","C","India","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.96","0.41","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15yo Laimrig","8.96","0.18","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Alpha","8.96","0.09","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Signet","8.96","0.35","28","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 30)","8.95","0.19","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 1975","8.95","0.55","5","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Hakushu Sherry Cask","8.95","0.50","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Kavalan Solist Sherry Cask","8.95","0.30","26","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.94","0.54","7","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 58)","8.93","0.21","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Port Cask","8.93","0.31","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.92","0.32","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Madeira Cask Finish (Batch 1)","8.92","0.16","6","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Macallan 18yo Sherry Oak","8.92","0.32","24","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 40yo","8.92","0.37","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","8.91","0.19","34","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all batches)","8.91","0.19","13","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Bunnahabhain 25yo","8.91","0.31","21","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.91","0.22","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.90","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 35yo","8.90","0.65","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 40yo","8.90","0.83","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.90","0.21","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","8.89","0.20","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.89","0.45","26","$$$$","SingleMalt-like","ABC","B","India","Malt"
